mean_intensity,std_intensity,max_intensity,fg_fraction,hist_entropy,spatial_cv,center_periphery_ratio,gradient_mean,laplacian_var,quadrant_std,hv_ratio,label,project,dataset
0.2127491980791092,0.04833659529685974,0.6810457706451416,1.0,0.2784166579930896,0.23065383732318878,1.0124164277314525,0.10070128738880157,0.03681683912873268,0.007304286118596792,0.9990713780003202,on_tissue,65DNeoInfM3_10_test,65D_m3_sl10
0.20446643233299255,0.027885636314749718,0.6810457706451416,1.0,0.14659814616733244,0.13162121176719666,1.0260126687057962,0.04979876056313515,0.014667868614196777,0.0014825706603005528,1.0018181631534568,on_tissue,GCPL,gpcl611_2a_2
0.20050564408302307,0.011894353665411472,0.6810457706451416,1.0,0.016337180081802873,0.060818929225206375,0.999297642858915,0.006546693854033947,0.002779316855594516,0.00022602237004321069,0.9982014608821606,on_tissue,65DNeoInfM3_10_test,65D_m3_sl10
0.2327899932861328,0.05445482209324837,0.6810457706451416,1.0,0.9286308479705908,0.2341642528772354,1.18002657209739,0.13821597397327423,0.035904187709093094,0.008040952496230602,0.9967116768264702,on_tissue,GCPL,gpcl611_2a_2
0.20269611477851868,0.021810173988342285,0.6810457706451416,1.0,0.10111768168893409,0.10871714353561401,1.0267726927060599,0.03312913700938225,0.009266079403460026,0.0005784765817224979,1.0225655023925329,on_tissue,GCPL,gpcl968_2a_2
0.2024601846933365,0.02073587290942669,0.6810457706451416,1.0,0.08786615135077591,0.11386202275753021,1.0137959639232532,0.029004402458667755,0.008304818533360958,0.0006660740473307669,1.0120069257044908,on_tissue,GCPL,gpcl611_2a_2
0.20362739264965057,0.02470853179693222,0.6810457706451416,1.0,0.13365946041168011,0.11635205149650574,0.9795261944642152,0.032032471150159836,0.009266109205782413,0.002327674301341176,1.0215299366727515,on_tissue,GCPL,gpcl968_2a_2
0.20356713235378265,0.02699529007077217,0.6810457706451416,1.0,0.10150560440588395,0.1399754136800766,0.9900673386193135,0.04080360010266304,0.013547444716095924,0.002097302582114935,0.9990549195255939,on_tissue,65DNeoInfM3_10_test,65D_m3_sl10
0.20343783497810364,0.0202140174806118,0.6810457706451416,1.0,0.1897626713584632,0.09058014303445816,1.0095295492971086,0.025821849703788757,0.004046626389026642,0.003679313464090228,0.9804749064353447,on_tissue,GCPL,gpcl852_2a_2
0.2089407593011856,0.035304341465234756,0.6810457706451416,1.0,0.301698832934111,0.16811791062355042,1.0531320251221443,0.07874901592731476,0.021158454939723015,0.0018761157989501953,0.9833000317376831,on_tissue,GCPL,gpcl611_2a_2
